Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA
2019-01-02,37.538822174072266,76.95649719238281,52.33854675292969,81.61669158935547,134.73880004882812,94.61262512207031,3.377166986465454,20.674667358398438
2019-01-03,33.79966735839844,75.01399993896484,50.88900375366211,80.456787109375,130.82615661621094,91.13201141357422,3.1731278896331787,20.02400016784668
2019-01-04,35.24256134033203,78.76950073242188,53.4992790222168,83.42286682128906,136.99307250976562,95.3704833984375,3.37642240524292,21.179332733154297
2019-01-07,35.164119720458984,81.47550201416016,53.39258575439453,83.48089599609375,137.09237670898438,95.49211883544922,3.5551726818084717,22.33066749572754
2019-01-08,35.834449768066406,82.8290023803711,53.861541748046875,83.32344818115234,141.54127502441406,96.18448638916016,3.466665267944336,22.356666564941406
2019-01-09,36.44298553466797,82.97100067138672,53.67692947387695,83.18257141113281,143.2294921875,97.55990600585938,3.534843683242798,22.568666458129883
2019-01-10,36.55946731567383,82.81099700927734,53.53699493408203,83.17432403564453,143.19972229003906,96.93302154541016,3.6005425453186035,22.99799919128418
2019-01-11,36.200523376464844,82.02799987792969,52.82437515258789,82.7766342163086,142.802490234375,96.18448638916016,3.689793586730957,23.150667190551758
2019-01-14,35.65617370605469,80.8604965209961,52.18124008178711,83.6299819946289,144.3814239501953,95.4827651977539,3.729708433151245,22.293333053588867
2019-01-15,36.38593292236328,83.72799682617188,53.91810989379883,84.24309539794922,147.916748046875,98.25228118896484,3.7155773639678955,22.961999893188477
2019-01-16,36.83045196533203,84.18900299072266,54.06698226928711,84.92247009277344,146.5165252685547,98.59847259521484,3.6900413036346436,23.06999969482422
2019-01-17,37.04914093017578,84.66100311279297,54.54388427734375,85.27043151855469,147.27125549316406,99.2908706665039,3.7614424228668213,23.15399932861328
2019-01-18,37.2773323059082,84.80999755859375,54.94981384277344,86.654052734375,148.9991912841797,100.77850341796875,3.890608787536621,20.150667190551758
2019-01-22,36.440616607666016,81.6084976196289,53.52706527709961,85.28701782226562,146.54632568359375,98.87915802001953,3.688305139541626,19.92799949645996
