,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA
AAPL,0.09673718051445422,0.06245261913181354,0.06021811383675573,0.039382480394845085,0.07085685868571995,0.06189659177586921,0.09290527838093189,0.09513394885037565
AMZN,0.06245261913181354,0.1168958334308352,0.0675510271216395,0.03131855480101254,0.08834339944552991,0.06491836482090753,0.10180304466857684,0.09606206584829946
GOOGL,0.06021811383675573,0.0675510271216395,0.09856012080463686,0.03790833805080618,0.08006073343241854,0.06197132366031813,0.09170893969928202,0.0823747433424764
JPM,0.039382480394845085,0.03131855480101254,0.03790833805080618,0.08946957852860046,0.040524210516974905,0.03640820194419589,0.05407662864928508,0.056743124373111374
META,0.07085685868571995,0.08834339944552991,0.08006073343241854,0.040524210516974905,0.17578846345227578,0.07350400601655528,0.1142134442414427,0.09378481371501274
MSFT,0.06189659177586921,0.06491836482090753,0.06197132366031813,0.03640820194419589,0.07350400601655528,0.08059490451648778,0.09765645989377052,0.07968204184258418
NVDA,0.09290527838093189,0.10180304466857684,0.09170893969928202,0.05407662864928508,0.1142134442414427,0.09765645989377052,0.2662596771145896,0.15398836408640262
TSLA,0.09513394885037565,0.09606206584829946,0.0823747433424764,0.056743124373111374,0.09378481371501274,0.07968204184258418,0.15398836408640262,0.4142823930568027
